age,gender,education_level,employment_status,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_amount_usd,monthly_emi_usd,debt_to_income_ratio,credit_score,savings_to_income_ratio,expense_ratio,financial_health_status
56,Female,High School,Self-employed,3531.69,1182.59,367655.03,No,0.0,0.0,0.0,430,8.68,0.3348510203330416,Poor
19,Female,PhD,Employed,3531.73,2367.99,260869.1,Yes,146323.34,4953.5,1.4,543,6.16,0.6704900997528123,Poor
20,Female,Master,Employed,2799.49,1003.91,230921.21,No,0.0,0.0,0.0,754,6.87,0.3586046029812573,Good
25,Male,PhD,Employed,5894.88,4440.12,304815.51,Yes,93242.37,4926.57,0.84,461,4.31,0.7532163504600602,Poor
53,Female,PhD,Employed,5128.93,4137.61,461509.48,No,0.0,0.0,0.0,516,7.5,0.8067199201392882,Poor
62,Male,Master,Employed,4051.0,2244.42,194901.41,Yes,407915.25,38219.81,9.43,718,4.01,0.5540409775364108,Average
22,Female,Master,Student,983.69,332.62,37522.56,Yes,296057.6,6773.29,6.89,761,3.18,0.3381349815490652,Average
18,Female,Bachelor,Employed,6199.29,4503.15,89107.54,No,0.0,0.0,0.0,540,1.2,0.7263977003818178,Poor
49,Female,High School,Self-employed,4271.51,3062.12,451923.96,No,0.0,0.0,0.0,327,8.82,0.7168706148411217,Poor
61,Male,Master,Employed,5216.18,4369.36,203320.5,Yes,324197.37,6782.37,1.3,558,3.25,0.8376551422688633,Poor
26,Female,Master,Employed,3677.43,2247.92,311546.91,Yes,127703.79,1818.01,0.49,412,7.06,0.6112747217486125,Poor
66,Other,Bachelor,Student,4808.1,1537.78,202875.2,No,0.0,0.0,0.0,429,3.52,0.3198311183211663,Poor
61,Male,Bachelor,Employed,2449.33,1804.98,109956.88,No,0.0,0.0,0.0,497,3.74,0.7369280578770521,Poor
65,Female,High School,Employed,5546.28,3630.24,453101.38,Yes,404941.02,10823.31,1.95,788,6.81,0.6545360133278522,Average
57,Male,PhD,Employed,3286.51,2287.38,323017.91,No,0.0,0.0,0.0,301,8.19,0.6959905796726619,Poor
65,Other,Bachelor,Unemployed,5112.24,2573.59,218221.57,No,0.0,0.0,0.0,430,3.56,0.5034172887031908,Poor
41,Male,Master,Unemployed,4586.14,1389.77,93116.97,No,0.0,0.0,0.0,462,1.69,0.3030369766295839,Poor
58,Male,High School,Employed,2571.3,1336.77,230407.66,No,0.0,0.0,0.0,332,7.47,0.5198809940497024,Poor
68,Female,Bachelor,Employed,5757.35,3907.42,550538.43,No,0.0,0.0,0.0,583,7.97,0.6786837694425386,Poor
22,Male,Bachelor,Employed,3520.81,1148.36,420217.83,No,0.0,0.0,0.0,345,9.95,0.3261635816758075,Poor
23,Male,High School,Student,8237.77,7316.78,83622.72,Yes,425717.2,13258.1,1.61,622,0.85,0.8881991121383578,Poor
49,Female,Bachelor,Employed,7093.07,3500.65,723648.99,Yes,180386.08,2286.5,0.32,707,8.5,0.4935310098448204,Average
24,Female,Master,Self-employed,1694.87,604.03,118470.87,Yes,78365.77,1315.94,0.78,641,5.82,0.3563872155386549,Average
69,Male,Bachelor,Employed,998.46,612.4,92532.51,Yes,229175.32,1741.49,1.74,649,7.72,0.6133445506079361,Average
57,Female,Other,Employed,2676.43,1507.85,28157.7,Yes,41355.61,745.27,0.28,357,0.88,0.563381071053605,Poor
18,Male,Bachelor,Employed,5704.87,3971.27,196567.84,No,0.0,0.0,0.0,746,2.87,0.6961192805445172,Average
